本表記載朱邦復工作室下載頁面「http://www.cbflabs.com/down/show.php?id=」，「=」後的 ID 與標題對照。

ID	標題
3	觀念論卷一之一
4	觀念論卷一之二
5	觀念論卷一之三～卷二之一
6	觀念論卷二之二
7	觀念論卷二之三～卷三之一
8	觀念論卷三之二
9	觀念論卷三之三
10	觀念論卷三之四～四之一
11	觀念論卷四之二
12	觀念論卷四之三～五之一
13	觀念論卷五之二
14	中文電腦漫談
15	組合語言的藝術
16	老子止笑譚
17	易經明道錄
18	易理探微
19	巴西狂歡節
20	東尼！東尼！
21	智慧之旅
22	智慧學九論
23	宇宙浪子
24	多媒體劇作導論
25	倉頡輸入法與字形產生器
26	漢字基因工程
27	漢字基因字典
28	第五代倉頡輸入法手冊
41	劇本：《數碼時代》
42	與基因有約
57	宇宙浪子導讀
60	文傳1610 CPU技術手冊〔PDF 〕
62	明珠中文小字庫
67	第五代倉頡輸入碼頻率分析
69	倉頡第三、五代字碼對照碼
70	第五代繁體倉頡碼表[適用繁體中文視窗作業系統]
71	第五代簡體倉頡碼表[適用簡體中文視窗作業系統]
78	紅樓夢：舊黛玉葬花
79	宇宙浪子電影劇本--宇宙浪子序曲
80	宇宙浪子電影劇本--第一部曲
81	宇宙浪子電影劇本--第二部曲
82	宇宙浪子電影劇本--第三部曲
83	宇宙浪子電影劇本--第四部曲
84	觀念論卷五之三
101	漢字基因材料ˍ網頁版
102	漢字基因字典線上閱讀版
114	今天暫時停止
115	海上鋼琴師
116	往事如煙
117	紅提琴
118	變臉王
120	《宇宙浪子》電影劇本
121	人工智能
122	齊瓦哥醫生
123	金剛經之一之一
124	金剛經之一之二
125	金剛經之一之三
126	金剛經之二之一
127	金剛經之二之二
128	公寓春光
129	月黑風高
130	宇宙浪子電影分鏡劇本
131	層次論
132	金剛經之三之一
133	金剛經之三之二
134	金剛經之三之三
135	萬世千秋
136	今天暫時停止電影分鏡劇本
137	六祖壇經之一之一
138	六祖壇經之一之二
139	金剛經之二之三
141	華爾街
142	紐倫堡大審
143	六祖壇經之二之一
144	六祖壇經之二之二
145	午夜狂奔
146	孽海痴魂
147	98智慧學九論一之一
148	98智慧學九論一之二
149	網上雜文
150	屋上提琴手
151	文傳３２１０規格
152	教父
153	98智慧學九論二之一
154	98智慧學九論二之二
155	火線追緝令
156	98智慧學九論三之一
157	98智慧學九論三之二
158	朱老師拜年
159	98智慧學九論四之一
160	98智慧學九論四之二
161	98智慧學九論五之一
162	98智慧學九論五之二
163	巴西
164	霹靂五號
165	層次論(1974年版)
167	目擊者
168	倉頡輔助字形
169	惡意的缺席
170	Catch 22！
171	罟網鴻爪
172	修女傳
173	電影[今天暫時停止]分鏡圖本
174	電影分鏡劇本　《巴西狂歡節》
175	阿拉伯勞倫斯
176	98智慧學九論六之一
177	98智慧學九論六之二
178	易經明道錄
179	組合語言之藝術
180	巴西狂歡節
181	中文電腦漫談
182	與基因有約
183	老子止笑譚
184	宇宙浪子
185	多媒體劇作導論
186	易理探微
187	東尼!東尼!
188	智慧之旅
189	網上雜文
190	漢字基因工程
191	98智慧學九論七之一
192	98智慧學九論七之二
197	98智慧學九論八之二
198	98智慧學九論八之一
200	98智慧學九論九之一
201	98智慧學九論九之二
203	《巴西狂歡節》一至十八場
